"id","beijian/id","name","jiancezhouqi","jiancebaojing","shiyongshebei/id"
"__export__.wms_beijianext_49_09df3714","__export__.wms_beijian_13_9de0d7db","JZJXC-7200","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_50_3b3bd6a0","__export__.wms_beijian_13_9de0d7db","JZXC-0.14","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_51_b7f46606","__export__.wms_beijian_13_9de0d7db","JZXC-16/16","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_52_7f59e293","__export__.wms_beijian_13_9de0d7db","JZXC-20000","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_53_65adfbfe","__export__.wms_beijian_13_9de0d7db","JZXC-480","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_54_c3f074f1","__export__.wms_beijian_13_9de0d7db","JZXC-H0.14/0.14","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_55_cdba4e69","__export__.wms_beijian_13_9de0d7db","JZXC-H18","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_56_7d1183f8","__export__.wms_beijian_13_9de0d7db","JZXC-H18F","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_70_c14e52b6","__export__.wms_beijian_14_3b1bdfaf","JYJXC-135/220","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_71_073cf7f5","__export__.wms_beijian_14_3b1bdfaf","JYJXC-160/260","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_72_25567088","__export__.wms_beijian_14_3b1bdfaf","JYXC-270","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_73_e1da57d9","__export__.wms_beijian_14_3b1bdfaf","JYXC-660","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_74_cec5bd17","__export__.wms_beijian_15_ccceced4","JPXC-1000","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_75_b4ec6e2b","__export__.wms_beijian_15_ccceced4","JPXC-H270","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_76_ed38ae9a","__export__.wms_beijian_16_9ef9cdbe","JSBXC-850","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_77_fca420ef","__export__.wms_beijian_16_9ef9cdbe","JSBXC1-870B04","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_78_4c124307","__export__.wms_beijian_17_f5417e17","JJC","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_79_c7ecd038","__export__.wms_beijian_17_f5417e17","JJJC","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_80_c19241e8","__export__.wms_beijian_17_f5417e17","JJJC1","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_81_fda74cbb","__export__.wms_beijian_17_f5417e17","JJJC3","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_82_59dd5394","__export__.wms_beijian_17_f5417e17","JJJC4","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_83_eb8657ac","__export__.wms_beijian_17_f5417e17","JJJC5","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_84_444932fe","__export__.wms_beijian_18_41958d00","JRJC-66/345","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_85_5854eb28","__export__.wms_beijian_18_41958d00","JRJC1-70/240","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_86_d2c018a7","__export__.wms_beijian_19_3ef1a582","JSDXC-1700","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_87_e95b860c","__export__.wms_beijian_19_3ef1a582","JSDXC1-1700","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_88_7f1e6a36","__export__.wms_beijian_19_3ef1a582","JSDXC2-1700","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_89_74bdf0db","__export__.wms_beijian_20_819c7994","JSDBXC-1100","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_90_f6879f81","__export__.wms_beijian_20_819c7994","JDBXC-1500","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_91_9212a44f","__export__.wms_beijian_20_819c7994","JDBXC-550/550","0","False","__export__.wms_shebei_10_66fd3549"
"__export__.wms_beijianext_92_1a994d3c","__export__.wms_beijian_20_819c7994","JDBXC-A550/550","0","False","__export__.wms_shebei_10_66fd3549"
