"id","parent_id/id","name","suoxie","data"
"wms.cangku_dwd","","电务段","dwd",""
"wms.cangku_czhcj","wms.cangku_dwd","曹庄车间","czcj",""
"__export__.wms_cangku_3","wms.cangku_czhcj","西站工区","xzgq",""
"__export__.wms_cangku_4","wms.cangku_czhcj","货通场工区","htcgq",""
"__export__.wms_cangku_8","wms.cangku_dwd","检修车间","jxcj",""
"wms.cangku_czcj","wms.cangku_dwd","沧州车间","czcj",""
"__export__.wms_cangku_6","wms.cangku_czcj","沧一工区","cygq",""
"__export__.wms_cangku_7","wms.cangku_czcj","沧二工区","cegq",""
